,strata,country,age_gender,employed,tertiary,population,pop_country
330,42,Denmark,11,2,1,30859,4858580
331,43,Denmark,11,1,2,160200,4858580
332,44,Denmark,11,1,1,100228,4858580
333,45,Denmark,12,2,2,456099,4858580
334,46,Denmark,12,2,1,146391,4858580
335,47,Denmark,12,1,2,25049,4858580
336,48,Denmark,12,1,1,16240,4858580
337,1,Estonia,1,2,2,38703,1099644
338,2,Estonia,1,2,1,772,1099644
339,3,Estonia,1,1,2,16854,1099644
340,4,Estonia,1,1,1,2368,1099644
341,5,Estonia,2,2,2,6447,1099644
342,6,Estonia,2,2,1,1891,1099644
343,7,Estonia,2,1,2,54100,1099644
344,8,Estonia,2,1,1,28303,1099644
345,9,Estonia,3,2,2,9700,1099644
346,10,Estonia,3,2,1,1260,1099644
347,11,Estonia,3,1,2,57101,1099644
348,12,Estonia,3,1,1,31785,1099644
349,13,Estonia,4,2,2,9568,1099644
350,14,Estonia,4,2,1,1706,1099644
351,15,Estonia,4,1,2,53678,1099644
352,16,Estonia,4,1,1,25462,1099644
353,17,Estonia,5,2,2,18753,1099644
354,18,Estonia,5,2,1,3780,1099644
355,19,Estonia,5,1,2,39530,1099644
356,20,Estonia,5,1,1,17104,1099644
357,21,Estonia,6,2,2,57295,1099644
358,22,Estonia,6,2,1,18779,1099644
359,23,Estonia,6,1,2,10596,1099644
360,24,Estonia,6,1,1,8730,1099644
361,25,Estonia,7,2,2,32682,1099644
362,26,Estonia,7,2,1,455,1099644
363,27,Estonia,7,1,2,18791,1099644
364,28,Estonia,7,1,1,3627,1099644
365,29,Estonia,8,2,2,8703,1099644
366,30,Estonia,8,2,1,6349,1099644
367,31,Estonia,8,1,2,27914,1099644
368,32,Estonia,8,1,1,39024,1099644
369,33,Estonia,9,2,2,9585,1099644
370,34,Estonia,9,2,1,6670,1099644
371,35,Estonia,9,1,2,30479,1099644
372,36,Estonia,9,1,1,44492,1099644
373,37,Estonia,10,2,2,7965,1099644
374,38,Estonia,10,2,1,3374,1099644
375,39,Estonia,10,1,2,36526,1099644
376,40,Estonia,10,1,1,41064,1099644
377,41,Estonia,11,2,2,14550,1099644
378,42,Estonia,11,2,1,7159,1099644
379,43,Estonia,11,1,2,32045,1099644
380,44,Estonia,11,1,1,37178,1099644
381,45,Estonia,12,2,2,105997,1099644
382,46,Estonia,12,2,1,44560,1099644
383,47,Estonia,12,1,2,12852,1099644
384,48,Estonia,12,1,1,13336,1099644
385,1,Finland,1,2,2,151236,4634305
386,2,Finland,1,2,1,1295,4634305
387,3,Finland,1,1,2,123862,4634305
388,4,Finland,1,1,1,4147,4634305
389,5,Finland,2,2,2,58137,4634305
390,6,Finland,2,2,1,11311,4634305
391,7,Finland,2,1,2,182672,4634305
392,8,Finland,2,1,1,114973,4634305
393,9,Finland,3,2,2,41694,4634305
394,10,Finland,3,2,1,5750,4634305
395,11,Finland,3,1,2,179856,4634305
396,12,Finland,3,1,1,141416,4634305
397,13,Finland,4,2,2,41422,4634305
398,14,Finland,4,2,1,10145,4634305
399,15,Finland,4,1,2,177111,4634305
400,16,Finland,4,1,1,108101,4634305
401,17,Finland,5,2,2,86694,4634305
